Local time,Ask,Bid,AskVolume,BidVolume
11.04.2022 02:35:47.845 GMT+0530,1.09118,1.09055,0.44,0.44
11.04.2022 02:35:47.946 GMT+0530,1.09126,1.09052,0.23,0.23
11.04.2022 02:35:48.048 GMT+0530,1.09125,1.09051,0.23,0.44
11.04.2022 02:35:48.445 GMT+0530,1.09129,1.09051,0.23,0.44
11.04.2022 02:35:48.496 GMT+0530,1.09132,1.09051,0.23,0.44
11.04.2022 02:35:48.547 GMT+0530,1.09131,1.09057,0.23,0.44
11.04.2022 02:35:48.921 GMT+0530,1.09132,1.0905,0.23,0.44
11.04.2022 02:35:55.103 GMT+0530,1.09132,1.09055,0.23,0.44
11.04.2022 02:35:56.029 GMT+0530,1.09125,1.09055,0.23,0.44
11.04.2022 02:35:56.080 GMT+0530,1.09125,1.09051,0.23,0.23
11.04.2022 02:35:56.500 GMT+0530,1.09125,1.09054,0.23,1.8
11.04.2022 02:35:59.445 GMT+0530,1.09117,1.09051,0.44,0.23
11.04.2022 02:36:05.424 GMT+0530,1.09118,1.09051,0.44,0.23
11.04.2022 02:36:05.594 GMT+0530,1.09117,1.09051,0.44,0.23
11.04.2022 02:36:08.211 GMT+0530,1.09116,1.09051,0.44,0.23
11.04.2022 02:36:13.679 GMT+0530,1.09117,1.09054,0.44,0.44
11.04.2022 02:36:16.134 GMT+0530,1.09117,1.09051,0.44,0.23
11.04.2022 02:36:16.265 GMT+0530,1.09116,1.09051,0.44,0.23
11.04.2022 02:36:25.103 GMT+0530,1.09117,1.09054,0.44,0.44
11.04.2022 02:36:48.173 GMT+0530,1.09117,1.09051,0.44,0.23
11.04.2022 02:36:50.623 GMT+0530,1.09116,1.09051,0.44,0.23
11.04.2022 02:36:52.209 GMT+0530,1.09117,1.09051,0.44,0.23
11.04.2022 02:36:55.425 GMT+0530,1.09117,1.09054,0.44,0.44
11.04.2022 02:37:00.250 GMT+0530,1.09117,1.09051,0.44,0.23
11.04.2022 02:37:00.709 GMT+0530,1.09116,1.09051,0.44,0.23
11.04.2022 02:37:05.103 GMT+0530,1.09117,1.09054,0.44,0.44
11.04.2022 02:37:12.347 GMT+0530,1.09117,1.09051,0.44,0.23
11.04.2022 02:37:15.392 GMT+0530,1.09117,1.09054,0.44,0.44
11.04.2022 02:37:17.798 GMT+0530,1.09107,1.09051,0.44,0.23
11.04.2022 02:37:17.900 GMT+0530,1.0911,1.09052,0.23,0.23
11.04.2022 02:37:35.465 GMT+0530,1.0911,1.09053,0.23,0.23
11.04.2022 02:37:35.516 GMT+0530,1.09113,1.09063,0.44,0.23
11.04.2022 02:38:35.129 GMT+0530,1.09109,1.09064,0.44,0.23
11.04.2022 02:38:50.348 GMT+0530,1.09099,1.09064,0.44,0.23
11.04.2022 02:38:50.449 GMT+0530,1.09096,1.09064,0.67,0.23
11.04.2022 02:38:52.801 GMT+0530,1.09096,1.09056,0.44,0.23
11.04.2022 02:38:52.902 GMT+0530,1.09097,1.09056,0.23,0.23
11.04.2022 02:38:55.155 GMT+0530,1.0909,1.09056,0.23,0.23
11.04.2022 02:38:55.256 GMT+0530,1.09086,1.09056,0.44,0.23
11.04.2022 02:38:56.650 GMT+0530,1.09086,1.0905,0.44,0.23
11.04.2022 02:38:58.416 GMT+0530,1.09086,1.09051,0.44,0.23
11.04.2022 02:38:58.838 GMT+0530,1.09087,1.09066,0.44,0.23
11.04.2022 02:39:00.571 GMT+0530,1.09092,1.09066,0.44,1.13
11.04.2022 02:39:03.555 GMT+0530,1.09092,1.09065,0.44,0.23
11.04.2022 02:39:03.606 GMT+0530,1.09092,1.09055,0.44,1.34
11.04.2022 02:39:03.657 GMT+0530,1.09092,1.09064,0.44,0.23
11.04.2022 02:39:05.960 GMT+0530,1.09092,1.09065,0.44,1.13
11.04.2022 02:39:06.011 GMT+0530,1.09096,1.09065,0.44,1.34
11.04.2022 02:39:06.062 GMT+0530,1.09102,1.09065,0.44,1.34
11.04.2022 02:39:08.969 GMT+0530,1.09102,1.09064,0.44,0.23
11.04.2022 02:39:11.021 GMT+0530,1.09102,1.09065,0.44,0.23
11.04.2022 02:39:18.084 GMT+0530,1.09102,1.09064,0.44,0.23
11.04.2022 02:39:23.997 GMT+0530,1.09101,1.09064,0.44,0.23
11.04.2022 02:39:29.469 GMT+0530,1.09098,1.09064,0.44,0.23
11.04.2022 02:39:29.570 GMT+0530,1.09079,1.09064,0.44,0.23
11.04.2022 02:39:29.915 GMT+0530,1.09079,1.09062,0.44,0.44
11.04.2022 02:39:38.331 GMT+0530,1.09097,1.09062,0.44,0.44
11.04.2022 02:39:39.282 GMT+0530,1.09103,1.09062,0.44,0.44
